#RUN	run_id	score_type	score_direction	date_time	search_engine_version	parameters
#PROTEIN	score	rank	accession	coverage	sequence
#UNASSIGNEDPEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
#FEATURE	rt	mz	intensity	charge	width	quality	rt_quality	mz_quality	rt_start	rt_end
#PEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
FEATURE	536.979	95.0878367339764	1694.94995117188	0	6.01900005340576	1.25016003948986e-005	0	0	532.566	538.585
FEATURE	170.454	95.089884038028	1898.0400390625	0	5.2649998664856	1.39996000143583e-005	0	0	170.454	175.719
FEATURE	836.686	95.1290385572216	1490.14001464844	0	7.36399984359741	1.09909997263458e-005	0	0	829.322	836.686
FEATURE	749.011	95.8182891971809	1329.31005859375	0	5.49300003051758	9.80470031208824e-006	0	0	749.011	754.504
FEATURE	816.552	96.5143896209592	3111.80004882813	0	7.27899980545044	2.29519991989946e-005	0	0	814.732	827.502
FEATURE	552.43	96.5162743250529	1247.0400390625	0	5.19600009918213	9.19792000786401e-006	0	0	552.43	557.626
FEATURE	827.502	97.9690688053587	11729.5	0	18.7740001678467	8.65148031152785e-005	0	0	822.011	841.572
FEATURE	276.162	97.9910847742795	3130.2099609375	0	9.50399971008301	2.30877994908951e-005	0	0	267.024	311.94
FEATURE	829.322	97.9912966160687	3300.48999023438	0	8.64400005340576	2.43437007156899e-005	0	0	829.322	837.966
FEATURE	342.814	97.9913590810831	5084.60986328125	0	17.8040008544922	3.75031013390981e-005	0	0	325.01	342.814
FEATURE	587.218	97.9924257701029	1478.7099609375	0	5.73199987411499	1.09066995719331e-005	0	0	581.486	587.218
FEATURE	834.046	98.5126772492736	5409.47998046875	0	8.15100002288818	3.98992997361347e-005	0	0	818.371	840.785
FEATURE	214.132	98.5130229247244	2334.40991210938	0	8.70600032806396	1.72181007656036e-005	0	0	205.426	214.132
FEATURE	814.732	98.6808970091773	1339.80004882813	0	5.49100017547607	9.88213014352368e-006	0	0	809.241	814.732
FEATURE	227.608	98.8531859747254	1694.55004882813	0	5.84000015258789	1.24987000162946e-005	0	0	224.525	230.365
FEATURE	835.602	99.0130610985988	3643.919921875	0	11.2519998550415	2.68767998932162e-005	0	0	827.502	838.754
