#RUN	run_id	score_type	score_direction	date_time	search_engine_version	parameters
#PROTEIN	score	rank	accession	coverage	sequence
#UNASSIGNEDPEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
#FEATURE	rt	mz	intensity	charge	width	quality	rt_quality	mz_quality	rt_start	rt_end
#PEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
FEATURE	86.512	132.095094078092	5980.9501953125	0	11.1169996261597	3.34372016368434e-005	0	0	86.512	97.629
FEATURE	116.163	160.071841876039	5389.97998046875	0	3.70700001716614	3.01333002425963e-005	0	0	105.041	116.163
FEATURE	116.163	163.091478407572	31379.69921875	0	7.41499996185303	0.000175431996467523	0	0	105.041	119.871
FEATURE	108.749	166.082945040439	9884.08984375	0	7.41499996185303	5.52581004740205e-005	0	0	101.335	112.456
FEATURE	127.287	166.083009709966	16441.30078125	0	11.1239995956421	9.19168014661409e-005	0	0	116.163	142.12
FEATURE	108.749	171.11047859415	10641	0	22.246000289917	5.9489600971574e-005	0	0	108.749	130.995
FEATURE	119.871	173.12285123013	2995.65991210938	0	7.41499996185303	1.6747599147493e-005	0	0	112.456	119.871
FEATURE	116.163	176.104680977861	65414.30078125	1	7.41499996185303	0.000402455014409497	0	0	82.806	119.871
FEATURE	145.829	178.11824064394	11695	0	3.70799994468689	6.53824026812799e-005	0	0	145.829	171.814
FEATURE	116.163	182.078375913947	7563.68017578125	0	11.1230001449585	4.22855991928373e-005	0	0	112.456	130.995
FEATURE	587.014	184.96678705871	13458.599609375	0	25.9389991760254	7.52417981857434e-005	0	0	568.486	594.425
FEATURE	123.579	185.127837533324	7541.43017578125	0	11.1230001449585	4.21611985075288e-005	0	0	112.456	123.579
FEATURE	119.871	187.104658400251	32429	0	29.6550006866455	0.000181298004463315	0	0	93.924	123.579
FEATURE	90.218	188.070202315481	11036	0	22.2350006103516	6.16980978520587e-005	0	0	60.566	90.218
FEATURE	116.163	188.103938092242	10581.099609375	0	7.41499996185303	5.91550015087705e-005	0	0	108.749	142.12
FEATURE	108.749	189.120852631647	3810.80004882813	0	7.41400003433228	2.13047005672706e-005	0	0	108.749	116.163
FEATURE	112.456	193.13531014939	3588.86010742188	0	7.41499996185303	2.00639005925041e-005	0	0	112.456	119.871
FEATURE	108.749	197.123341900442	9253.009765625	0	11.121000289917	5.17299995408393e-005	0	0	93.924	112.456
FEATURE	97.629	198.109129699562	3697.59008789063	0	3.70499992370605	2.06717995752115e-005	0	0	60.566	97.629
FEATURE	175.52	199.054224487305	3710	0	7.42000007629395	2.0741199477925e-005	0	0	175.52	182.94
FEATURE	123.579	199.109335857889	4093.6298828125	0	7.41599988937378	2.28859007620486e-005	0	0	116.163	123.579
FEATURE	119.871	199.140009108228	10626.099609375	0	18.5380001068115	5.94064003962558e-005	0	0	108.749	127.287
FEATURE	112.456	201.119264837747	11826	0	11.1219997406006	6.61148005747236e-005	0	0	105.041	127.287
FEATURE	119.871	203.105353219169	3321.919921875	0	7.41499996185303	1.85715998668456e-005	0	0	112.456	119.871
FEATURE	205.177	205.05532280024	9650.419921875	0	11.1180000305176	5.39518005098216e-005	0	0	194.059	208.883
FEATURE	108.749	205.096619293995	37423.69921875	0	7.41499996185303	0.000209221005206928	0	0	56.86	130.995
FEATURE	194.059	205.128651518272	19045.400390625	0	25.9479999542236	0.000106475003121886	0	0	194.059	290.436
FEATURE	145.829	205.130660987027	487674	0	7.41699981689453	0.00272639002650976	0	0	142.12	190.352
FEATURE	175.52	207.05417150095	31567.69921875	0	7.41200017929077	0.000176482993992977	0	0	160.695	182.94
FEATURE	253.371	207.129835256946	12437.2998046875	0	11.1180000305176	6.95323033141904e-005	0	0	249.665	260.783
FEATURE	182.94	207.134037231412	80153.3984375	0	3.70600008964539	0.00044810600229539	0	0	182.94	190.352
FEATURE	123.579	211.142266987944	68627.703125	0	11.1239995956421	0.000383670994779095	0	0	60.566	142.12
FEATURE	123.579	212.146867105784	8869.5400390625	0	7.41599988937378	4.95860986120533e-005	0	0	116.163	123.579
FEATURE	130.995	213.152725236258	10337.900390625	0	11.1239995956421	5.77952014282346e-005	0	0	119.871	130.995
FEATURE	205.177	214.061628922172	52219.1015625	0	18.5349998474121	0.000291937001748011	0	0	194.059	212.594
FEATURE	524.001	214.915542101469	21403.5	0	22.2709999084473	0.000119659001938999	0	0	520.259	542.53
FEATURE	123.579	215.134672581561	38619.69921875	0	25.9540004730225	0.000215908003156073	0	0	105.041	138.412
FEATURE	97.629	216.139137268066	4625.919921875	0	11.1199998855591	2.58617001236416e-005	0	0	97.629	108.749
FEATURE	323.806	216.921328285672	9651.1396484375	0	11.1190004348755	5.39557986485306e-005	0	0	316.393	338.64
FEATURE	305.275	216.921353674448	5212.91015625	0	7.42600011825562	2.91434007522184e-005	0	0	223.713	312.687
FEATURE	446.123	216.922080256222	12101.900390625	0	22.2469997406006	6.76570998621173e-005	0	0	435.002	509.141
FEATURE	346.053	216.922330839235	8317.080078125	0	11.1190004348755	4.64976001239847e-005	0	0	342.346	431.296
FEATURE	338.64	217.103547767357	11270.900390625	0	25.9529991149902	6.3011197198648e-005	0	0	327.512	353.465
FEATURE	123.579	217.106492967462	5346.93994140625	0	11.1239995956421	2.98927006951999e-005	0	0	123.579	134.703
