#RUN	run_id	score_type	score_direction	date_time	search_engine_version	parameters
#PROTEIN	score	rank	accession	coverage	sequence
#UNASSIGNEDPEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
#FEATURE	rt	mz	intensity	charge	width	quality	rt_quality	mz_quality	rt_start	rt_end
#PEPTIDE	rt	mz	score	rank	sequence	charge	aa_before	aa_after	score_type	search_identifier	accessions
FEATURE	492.802	150.01472194886	50221.8984375	0	29.125	7.70516976444924e-007	0	0	492.802	521.927
FEATURE	323.606	150.026575070468	1333320	0	4.28800010681152	2.04561001737602e-005	0	0	323.606	329.511
FEATURE	28.8459	150.02714128035	245408	0	29.2672996520996	3.76511002286861e-006	0	0	0.430977	31.4754
FEATURE	124.876	150.062593552653	115959	0	9.34099960327148	1.77906997578248e-006	0	0	115.535	124.876
FEATURE	302.322	150.062921507806	55371500	1	3.96300005912781	0.000929276982787997	0	0	299.818	317.12
FEATURE	178.269	150.063063263105	8043050	0	4.00500011444092	0.000123399004223756	0	0	175.15	217.498
FEATURE	491.112	150.063282959822	702939	0	58.7569999694824	1.07846999526373e-005	0	0	474.838	539.846
FEATURE	1.06385	150.063427086053	172539	0	16.7627239227295	2.64713003161887e-006	0	0	0.430977	93.5455
FEATURE	360.68	150.064896042706	248562	0	12.9370002746582	3.81349991585012e-006	0	0	354.657	367.594
FEATURE	396.763	150.065629571544	840766	0	46.3330001831055	1.28992996906163e-005	0	0	368.443	473.157
FEATURE	24.8221	150.085827273656	64667.1015625	0	9.82110023498535	9.92140030575683e-007	0	0	1.57021	30.304
FEATURE	414.776	150.087008484345	111302	0	6.84100008010864	1.70762996276608e-006	0	0	366.748	447.48
FEATURE	463.81	150.087147318988	194777	0	15.4879999160767	2.98831992040505e-006	0	0	448.322	463.81
FEATURE	120.678	150.099773300416	94635.8984375	0	5.88000011444092	1.45192996114929e-006	0	0	118.154	124.034
FEATURE	78.962	150.536489483522	97200.1015625	0	5.98050022125244	1.49127004078764e-006	0	0	76.4423	82.4228
FEATURE	48.1803	150.541302437629	20878.5	0	5.97599983215332	3.20324005542716e-007	0	0	46.4993	52.4753
FEATURE	469.809	150.995989417618	119705	0	8.33199977874756	1.83654003649281e-006	0	0	468.127	482.858
FEATURE	473.157	151.035610956805	493579	0	7.49200010299683	7.57260977479746e-006	0	0	468.967	539.846
FEATURE	32.77	151.038561095435	130910	0	6.48400020599365	2.00845011022466e-006	0	0	30.0248	46.4993
FEATURE	61.8704	151.038808168625	287561	0	17.0510997772217	4.41184010924189e-006	0	0	47.3381	66.1642
FEATURE	153.384	151.038940290139	1431360	0	5.83500003814697	2.19602006836794e-005	0	0	149.293	172.634
FEATURE	75.5096	151.038960649287	510609	0	15.4159002304077	7.83388986747013e-006	0	0	67.0058	87.5632
FEATURE	104.655	151.039084914934	471353	0	8.40999984741211	7.23162020221935e-006	0	0	88.4029	138.408
FEATURE	1.69672	151.03913946015	26009.80078125	0	5.29459285736084	3.99048985855188e-007	0	0	0.430977	29.7467
FEATURE	144.971	151.039300090856	775555	0	7.50699996948242	1.18988000394893e-005	0	0	139.251	148.445
FEATURE	179.009	151.039581293869	604796	0	8.14700031280518	9.27893961488735e-006	0	0	173.485	182.476
FEATURE	191.942	151.039620490142	625468	0	10.3090000152588	9.59609042183729e-006	0	0	183.317	197.842
FEATURE	79.8052	151.048892389527	19935.5	0	5.97910022735596	3.05855991200588e-007	0	0	73.8261	79.8052
FEATURE	34.4498	151.050114956833	47110.30078125	0	8.95189952850342	7.22777997452795e-007	0	0	31.4754	40.4273
FEATURE	389.046	151.062087754807	169678	0	26.5690002441406	2.60324009104806e-006	0	0	389.046	430.243
FEATURE	1.57021	151.065334014741	15345.400390625	0	10.2310991287231	2.35433006423591e-007	0	0	0.684101	10.9152
FEATURE	380.391	151.07419625637	292524	0	26.6219997406006	4.48797982244287e-006	0	0	378.682	431.18
